year,hour,price
2007,0,10.785
2007,1,10.785
2007,2,10.785
2007,3,10.785
2007,4,10.785
2007,5,10.785
2007,6,10.785
2007,7,12.785
2007,8,12.785
2007,9,12.785
2007,10,12.785
2007,11,12.785
2007,12,12.785
2007,13,12.785
2007,14,12.785
2007,15,12.785
2007,16,12.785
2007,17,12.785
2007,18,12.785
2007,19,12.785
2007,20,12.785
2007,21,12.785
2007,22,10.785
2007,23,10.785
2008,0,11.365
2008,1,11.365
2008,2,11.365
2008,3,11.365
2008,4,11.365
2008,5,11.365
2008,6,11.365
2008,7,13.365
2008,8,13.365
2008,9,13.365
2008,10,13.365
2008,11,13.365
2008,12,13.365
2008,13,13.365
2008,14,13.365
2008,15,13.365
2008,16,13.365
2008,17,13.365
2008,18,13.365
2008,19,13.365
2008,20,13.365
2008,21,13.365
2008,22,11.365
2008,23,11.365
2009,0,11.945
2009,1,11.945
2009,2,11.945
2009,3,11.945
2009,4,11.945
2009,5,11.945
2009,6,11.945
2009,7,13.945
2009,8,13.945
2009,9,13.945
2009,10,13.945
2009,11,13.945
2009,12,13.945
2009,13,13.945
2009,14,13.945
2009,15,13.945
2009,16,13.945
2009,17,13.945
2009,18,13.945
2009,19,13.945
2009,20,13.945
2009,21,13.945
2009,22,11.945
2009,23,11.945
2010,0,12.525
2010,1,12.525
2010,2,12.525
2010,3,12.525
2010,4,12.525
2010,5,12.525
2010,6,12.525
2010,7,14.525
2010,8,14.525
2010,9,14.525
2010,10,14.525
2010,11,14.525
2010,12,14.525
2010,13,14.525
2010,14,14.525
2010,15,14.525
2010,16,14.525
2010,17,14.525
2010,18,14.525
2010,19,14.525
2010,20,14.525
2010,21,14.525
2010,22,12.525
2010,23,12.525
2011,0,13.095
2011,1,13.095
2011,2,13.095
2011,3,13.095
2011,4,13.095
2011,5,13.095
2011,6,13.095
2011,7,15.095
2011,8,15.095
2011,9,15.095
2011,10,15.095
2011,11,15.095
2011,12,15.095
2011,13,15.095
2011,14,15.095
2011,15,15.095
2011,16,15.095
2011,17,15.095
2011,18,15.095
2011,19,15.095
2011,20,15.095
2011,21,15.095
2011,22,13.095
2011,23,13.095
